Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
155	Elijah Moore	PHI	WR	3.35	4	4	4	3	2	3	5	4	3	BYE	3	5	3	3	2	3	3	3
156	Tyler Lockett	LV	WR	3	5	2	4	2	4	3	3	4	3	2	2	4	BYE	2	2	4	3	2
157	Mitch Tinsley	CIN	WR	3.29	2	3	3	2	5	BYE	3	4	4	3	4	4	4	2	3	3	3	4
158	Jake Bobo	SEA	WR	3	4	3	4	2	3	2	2	4	3	3	BYE	3	5	3	1	3	3	3
159	DeAndre Hopkins	BAL	WR	3.24	3	4	5	4	4	4	3	3	2	2	3	3	BYE	2	3	4	3	3
160	Theo Wease Jr.	MIA	WR	3.12	3	3	2	2	3	BYE	4	4	4	3	3	4	2	4	3	2	3	4
161	Odell Beckham Jr.	NYG	WR	3.24	5	3	4	3	4	4	3	BYE	1	4	2	3	3	2	4	4	5	1
162	Van Jefferson	WAS	WR	2.94	1	5	2	3	3	3	BYE	1	3	3	3	3	4	3	4	2	2	5
163	Marquez Valdes-Scantling	DAL	WR	2.76	3	4	3	3	2	3	1	3	3	3	4	1	2	BYE	3	2	3	4
164	Tai Felton	MIN	WR	3.59	3	4	2	5	4	BYE	3	4	3	3	3	4	3	4	4	4	4	4
165	Anthony Gould	IND	WR	3.12	3	2	3	4	3	4	2	2	5	5	3	3	BYE	1	4	3	4	2
166	Xavier Smith	LAR	WR	2.71	3	3	2	1	3	3	3	2	4	3	BYE	3	2	3	5	2	2	2
167	Reggie Virgil	ARI	WR	2.94	2	2	3	3	4	3	2	5	2	3	2	4	1	BYE	4	4	3	3
168	Lil'Jordan Humphrey	DEN	WR	2.88	2	2	3	3	2	2	3	2	3	BYE	3	3	5	4	3	3	4	2
169	Xavier Weaver	ARI	WR	2.94	2	2	3	3	4	3	2	5	2	3	2	4	1	BYE	4	4	3	3
170	Xavier Restrepo	TEN	WR	3.12	4	1	3	3	3	3	4	3	BYE	2	5	2	4	4	3	3	3	3
171	Mecole Hardman Jr.	BUF	WR	3.35	3	4	2	4	3	3	BYE	3	2	4	5	2	4	3	4	2	5	4
172	Josh Cameron	JAC	WR	3.29	4	2	4	3	1	3	BYE	3	3	4	3	4	4	3	3	5	4	3
173	Brandin Cooks	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
174	Myles Price	MIN	WR	3.59	3	4	2	5	4	BYE	3	4	3	3	3	4	3	4	4	4	4	4
175	Skyy Moore	GB	WR	3.53	2	4	4	2	4	5	4	3	4	2	BYE	3	4	3	5	4	3	4
176	KeAndre Lambert-Smith	LAC	WR	2.88	3	3	3	2	2	2	BYE	3	3	3	4	4	2	3	3	5	2	2
177	Kendrick Law	DET	WR	3.35	4	3	4	3	3	BYE	3	2	5	4	2	4	4	4	2	3	4	3
178	Diontae Johnson	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
179	Mason Tipton	NO	WR	3.12	4	3	3	4	2	3	3	BYE	4	3	4	3	3	3	2	3	4	2
180	Devonte Boyd	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
181	JuJu Smith-Schuster	NYG	WR	3.24	5	3	4	3	4	4	3	BYE	1	4	2	3	3	2	4	4	5	1
182	Jermaine Burton	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
183	Kaden Wetjen	PIT	WR	3.06	4	4	3	4	3	2	4	4	BYE	3	1	2	3	2	3	3	4	3
184	Jonathan Mingo	DAL	WR	2.76	3	4	3	3	2	3	1	3	3	3	4	1	2	BYE	3	2	3	4
185	Isaiah Williams	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
186	Jimmy Horn Jr.	CAR	WR	3	4	4	4	4	BYE	1	2	3	2	4	3	2	2	4	3	3	2	4
187	Ben Skowronek	PIT	WR	3.06	4	4	3	4	3	2	4	4	BYE	3	1	2	3	2	3	3	4	3
188	Montorie Foster Jr.	SEA	WR	3	4	3	4	2	3	2	2	4	3	3	BYE	3	5	3	1	3	3	3
189	Kevin Austin Jr.	NO	WR	3.12	4	3	3	4	2	3	3	BYE	4	3	4	3	3	3	2	3	4	2
190	Jordan Watkins	SF	WR	2.88	3	5	3	2	2	4	4	BYE	3	5	2	2	3	3	2	2	1	3
191	Justin Watson	HOU	WR	3.06	3	3	3	5	4	2	3	BYE	2	4	3	3	3	4	2	1	3	4
192	Emmanuel Henderson Jr.	SEA	WR	3	4	3	4	2	3	2	2	4	3	3	BYE	3	5	3	1	3	3	3
193	Michael Bandy	DEN	WR	2.88	2	2	3	3	2	2	3	2	3	BYE	3	3	5	4	3	3	4	2
194	Jeshaun Jones	MIN	WR	3.59	3	4	2	5	4	BYE	3	4	3	3	3	4	3	4	4	4	4	4
195	Michael Briscoe	MIN	WR	3.59	3	4	2	5	4	BYE	3	4	3	3	3	4	3	4	4	4	4	4
196	Michael Woods II	DEN	WR	2.88	2	2	3	3	2	2	3	2	3	BYE	3	3	5	4	3	3	4	2
197	Barion Brown	NO	WR	3.12	4	3	3	4	2	3	3	BYE	4	3	4	3	3	3	2	3	4	2
198	Arian Smith	NYJ	WR	3.35	4	3	4	4	4	4	5	3	2	3	2	5	BYE	2	3	4	2	3
199	Sterling Shepard	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
200	Darius Cooper	PHI	WR	3.35	4	4	4	3	2	3	5	4	3	BYE	3	5	3	3	2	3	3	3
201	Gabe Davis	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
202	Nikko Remigio	KC	WR	3	2	3	5	3	BYE	2	2	2	4	4	3	3	3	3	4	3	2	3
203	Bryce Oliver	TEN	WR	3.12	4	1	3	3	3	3	4	3	BYE	2	5	2	4	4	3	3	3	3
204	Cedrick Wilson Jr.	DET	WR	3.35	4	3	4	3	3	BYE	3	2	5	4	2	4	4	4	2	3	4	3
205	Coleman Owen	IND	WR	3.12	3	2	3	4	3	4	2	2	5	5	3	3	BYE	1	4	3	4	2
206	Tyler Johnson	DAL	WR	2.76	3	4	3	3	2	3	1	3	3	3	4	1	2	BYE	3	2	3	4
207	Ja'Lynn Polk	NO	WR	3.12	4	3	3	4	2	3	3	BYE	4	3	4	3	3	3	2	3	4	2
208	Velus Jones Jr.	SEA	WR	3	4	3	4	2	3	2	2	4	3	3	BYE	3	5	3	1	3	3	3
209	Josh Reynolds	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
210	Dylan Drummond	ATL	WR	3.12	3	3	3	4	3	4	3	2	3	2	BYE	2	4	4	4	2	4	3
211	Devin Duvernay	ARI	WR	2.94	2	2	3	3	4	3	2	5	2	3	2	4	1	BYE	4	4	3	3
212	Efton Chism III	NE	WR	3.12	2	3	2	3	3	4	4	5	3	4	BYE	2	3	2	2	4	2	5
213	Tom Kennedy	DET	WR	3.35	4	3	4	3	3	BYE	3	2	5	4	2	4	4	4	2	3	4	3
214	Ray-Ray McCloud III	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
215	Braxton Berrios	NYG	WR	3.24	5	3	4	3	4	4	3	BYE	1	4	2	3	3	2	4	4	5	1
216	Jakobie Keeney-James	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
217	Kendric Pryor	CIN	WR	3.29	2	3	3	2	5	BYE	3	4	4	3	4	4	4	2	3	3	3	4
218	CJ Williams	JAC	WR	3.29	4	2	4	3	1	3	BYE	3	3	4	3	4	4	3	3	5	4	3
219	David Moore	CAR	WR	3	4	4	4	4	BYE	1	2	3	2	4	3	2	2	4	3	3	2	4
220	Ronnie Bell	NO	WR	3.12	4	3	3	4	2	3	3	BYE	4	3	4	3	3	3	2	3	4	2
221	Bub Means	NO	WR	3.12	4	3	3	4	2	3	3	BYE	4	3	4	3	3	3	2	3	4	2
222	JP Richardson	CHI	WR	3.06	3	2	1	4	3	4	4	2	2	BYE	4	4	2	5	3	3	4	2
223	Ainias Smith	CAR	WR	3	4	4	4	4	BYE	1	2	3	2	4	3	2	2	4	3	3	2	4
224	Raylen Sharpe	IND	WR	3.12	3	2	3	4	3	4	2	2	5	5	3	3	BYE	1	4	3	4	2
225	Omari Kelly	CHI	WR	3.06	3	2	1	4	3	4	4	2	2	BYE	4	4	2	5	3	3	4	2
226	Isaiah Neyor	GB	WR	3.53	2	4	4	2	4	5	4	3	4	2	BYE	3	4	3	5	4	3	4
227	Jacob Cowing	SF	WR	2.88	3	5	3	2	2	4	4	BYE	3	5	2	2	3	3	2	2	1	3
228	Zay Jones	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
229	Tahj Washington	MIA	WR	3.12	3	3	2	2	3	BYE	4	4	4	3	3	4	2	4	3	2	3	4
230	Noah Brown	FA	WR	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
231	Lewis Bond	HOU	WR	3.06	3	3	3	5	4	2	3	BYE	2	4	3	3	3	4	2	1	3	4
232	Isaiah Hodgins	NYG	WR	3.24	5	3	4	3	4	4	3	BYE	1	4	2	3	3	2	4	4	5	1
233	Kameron Johnson	TB	WR	3.41	3	4	2	3	5	3	3	4	4	BYE	4	3	2	3	4	4	3	4
234	Luke Grimm	LAC	WR	2.88	3	3	3	2	2	2	BYE	3	3	3	4	4	2	3	3	5	2	2
235	Johnny Wilson	PHI	WR	3.35	4	4	4	3	2	3	5	4	3	BYE	3	5	3	3	2	3	3	3
236	Jacob De Jesus	KC	WR	3	2	3	5	3	BYE	2	2	2	4	4	3	3	3	3	4	3	2	3
237	Anthony Smith	DAL	WR	2.76	3	4	3	3	2	3	1	3	3	3	4	1	2	BYE	3	2	3	4
238	Xavier Loyd	KC	WR	3	2	3	5	3	BYE	2	2	2	4	4	3	3	3	3	4	3	2	3
239	Brennan Presley	LAR	WR	2.71	3	3	2	1	3	3	3	2	4	3	BYE	3	2	3	5	2	2	2
240	Ricky White III	SEA	WR	3	4	3	4	2	3	2	2	4	3	3	BYE	3	5	3	1	3	3	3
1	Brock Bowers	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
2	Trey McBride	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
3	Colston Loveland	CHI	TE	3	3	3	2	4	3	2	3	3	5	BYE	2	3	2	3	4	3	3	3
4	Tucker Kraft	GB	TE	3.12	3	4	2	5	3	4	3	3	3	3	BYE	2	2	4	3	3	3	3
5	Tyler Warren	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
6	Sam LaPorta	DET	TE	3.18	2	4	4	3	4	BYE	3	3	3	3	5	3	2	4	3	2	3	3
7	Kyle Pitts Sr.	ATL	TE	3.12	3	3	3	2	2	3	2	5	4	3	BYE	3	3	2	5	5	2	3
8	Harold Fannin Jr.	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
9	George Kittle	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
10	Dalton Kincaid	BUF	TE	3.12	3	3	4	3	2	4	BYE	2	3	4	3	3	3	3	3	3	3	4
11	Travis Kelce	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
12	Dallas Goedert	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
13	Mark Andrews	BAL	TE	3.24	4	2	4	4	2	2	4	4	2	4	3	3	BYE	5	3	2	4	3
14	Isaiah Likely	NYG	TE	3.12	4	2	4	4	5	2	3	BYE	2	5	2	4	2	3	2	3	4	2
15	Jake Ferguson	DAL	TE	3.06	2	5	2	3	5	3	2	4	4	2	4	2	3	BYE	2	2	2	5
16	Brenton Strange	JAC	TE	3.24	2	3	3	4	2	3	BYE	4	2	4	2	4	3	3	3	4	5	4
17	Hunter Henry	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
18	Oronde Gadsden II	LAC	TE	3.24	4	4	4	3	3	3	BYE	2	3	2	4	3	5	4	2	3	3	3
19	Juwan Johnson	NO	TE	3.12	3	2	4	2	3	2	3	BYE	2	3	3	4	3	3	5	4	2	5
20	Chig Okonkwo	WAS	TE	2.88	2	4	3	4	2	2	BYE	2	2	2	4	4	4	3	2	3	2	4
21	AJ Barner	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
22	Kenyon Sadiq	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
23	Dalton Schultz	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
24	T.J. Hockenson	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
25	Terrance Ferguson	LAR	TE	3.35	2	2	3	2	4	4	4	4	5	4	BYE	3	3	2	4	3	5	3
26	Gunnar Helm	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
27	Pat Freiermuth	PIT	TE	2.88	2	3	4	2	4	5	2	2	BYE	4	2	3	3	2	2	3	4	2
28	Cade Otton	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
29	David Njoku	LAC	TE	3.24	4	4	4	3	3	3	BYE	2	3	2	4	3	5	4	2	3	3	3
30	Evan Engram	DEN	TE	3.24	3	2	2	2	4	3	4	3	3	BYE	4	3	3	4	4	4	3	4
31	Colby Parkinson	LAR	TE	3.35	2	2	3	2	4	4	4	4	5	4	BYE	3	3	2	4	3	5	3
32	Oscar Delp	NO	TE	3.12	3	2	4	2	3	2	3	BYE	2	3	3	4	3	3	5	4	2	5
33	Eli Stowers	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
34	Theo Johnson	NYG	TE	3.12	4	2	4	4	5	2	3	BYE	2	5	2	4	2	3	2	3	4	2
35	Mason Taylor	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
36	Greg Dulcich	MIA	TE	3.41	4	2	3	3	4	BYE	4	3	3	4	4	4	3	3	3	4	4	3
37	Mike Gesicki	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
38	Jake Tonges	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
39	Darnell Washington	PIT	TE	2.88	2	3	4	2	4	5	2	2	BYE	4	2	3	3	2	2	3	4	2
40	Tyler Higbee	LAR	TE	3.35	2	2	3	2	4	4	4	4	5	4	BYE	3	3	2	4	3	5	3
41	Elijah Arroyo	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
42	Noah Gray	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
43	Max Klare	LAR	TE	3.35	2	2	3	2	4	4	4	4	5	4	BYE	3	3	2	4	3	5	3
44	Cole Kmet	CHI	TE	3	3	3	2	4	3	2	3	3	5	BYE	2	3	2	3	4	3	3	3
45	Michael Mayer	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
46	Ja'Tavion Sanders	CAR	TE	2.88	3	2	2	3	BYE	2	5	3	3	2	2	5	3	2	4	3	3	2
47	Justin Joly	DEN	TE	3.24	3	2	2	2	4	3	4	3	3	BYE	4	3	3	4	4	4	3	4
48	Dawson Knox	BUF	TE	3.12	3	3	4	3	2	4	BYE	2	3	4	3	3	3	3	3	3	3	4
49	Eli Raridon	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
50	Noah Fant	NO	TE	3.12	3	2	4	2	3	2	3	BYE	2	3	3	4	3	3	5	4	2	5
51	Erick All Jr.	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
52	Luke Musgrave	GB	TE	3.12	3	4	2	5	3	4	3	3	3	3	BYE	2	2	4	3	3	3	3
53	John Bates	WAS	TE	2.88	2	4	3	4	2	2	BYE	2	2	2	4	4	4	3	2	3	2	4
54	Ben Sinnott	WAS	TE	2.88	2	4	3	4	2	2	BYE	2	2	2	4	4	4	3	2	3	2	4
55	Tommy Tremble	CAR	TE	2.88	3	2	2	3	BYE	2	5	3	3	2	2	5	3	2	4	3	3	2
56	Mitchell Evans	CAR	TE	2.88	3	2	2	3	BYE	2	5	3	3	2	2	5	3	2	4	3	3	2
57	Darren Waller	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
58	Elijah Higgins	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
59	Nate Boerkircher	JAC	TE	3.24	2	3	3	4	2	3	BYE	4	2	4	2	4	3	3	3	4	5	4
60	Daniel Bellinger	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
61	Tommy Myers	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
62	Zach Ertz	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
63	Josh Oliver	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
64	Austin Hooper	ATL	TE	3.12	3	3	3	2	2	3	2	5	4	3	BYE	3	3	2	5	5	2	3
65	Luke Schoonmaker	DAL	TE	3.06	2	5	2	3	5	3	2	4	4	2	4	2	3	BYE	2	2	2	5
66	Marlin Klein	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
67	Jonnu Smith	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
68	Drew Sample	CIN	TE	2.94	5	3	3	2	3	BYE	2	4	2	3	5	2	2	3	3	4	2	2
69	Tyler Conklin	DET	TE	3.18	2	4	4	3	4	BYE	3	3	3	3	5	3	2	4	3	2	3	3
70	Adam Trautman	DEN	TE	3.24	3	2	2	2	4	3	4	3	3	BYE	4	3	3	4	4	4	3	4
71	Durham Smythe	BAL	TE	3.24	4	2	4	4	2	2	4	4	2	4	3	3	BYE	5	3	2	4	3
72	Taysom Hill	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
73	Charlie Kolar	LAC	TE	3.24	4	4	4	3	3	3	BYE	2	3	2	4	3	5	4	2	3	3	3
74	Sam Roush	CHI	TE	3	3	3	2	4	3	2	3	3	5	BYE	2	3	2	3	4	3	3	3
75	Jackson Hawes	BUF	TE	3.12	3	3	4	3	2	4	BYE	2	3	4	3	3	3	3	3	3	3	4
76	Brock Wright	DET	TE	3.18	2	4	4	3	4	BYE	3	3	3	3	5	3	2	4	3	2	3	3
77	Mo Alie-Cox	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
78	Will Kacmarek	MIA	TE	3.41	4	2	3	3	4	BYE	4	3	3	4	4	4	3	3	3	4	4	3
79	Cade Stover	HOU	TE	3.24	4	4	4	4	4	2	2	BYE	4	2	4	2	3	5	2	2	3	4
80	Joe Royer	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
81	Will Dissly	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
82	Michael Trigg	DAL	TE	3.06	2	5	2	3	5	3	2	4	4	2	4	2	3	BYE	2	2	2	5
83	Tip Reiman	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
