Round	Pick	Team	Player	Position	NFL Team	Conference	Year
3	25	Maryland Madness	De'Von Achane	RB	MIA	North	2024
3	26	Steers and Beers	Deebo Samuel	WR	SFO	North	2024
3	27	Raptors	Mike Evans	WR	TBB	North	2024
3	28	Rusty Hammer	Michael Pittman	WR	IND	North	2024
3	29	Tua Girls One Kupp	Jaylen Waddle	WR	MIA	North	2024
3	30	Moose Men	Stefon Diggs	WR	HOU	North	2024
3	31	Rory's Fury	Nico Collins	WR	HOU	North	2024
3	32	Hail to the Chef	Alvin Kamara	RB	NOS	North	2024
3	33	Banana's Bunch	Sam LaPorta	TE	DET	North	2024
3	34	AFCCP	Brandon Aiyuk	WR	SFO	North	2024
3	35	Met-Life Crisis	Kenneth Walker III	RB	SEA	North	2024
3	36	Renegades	James Cook	RB	BUF	North	2024
4	37	Renegades	Travis Kelce	TE	KCC	North	2024
4	38	Met-Life Crisis	DK Metcalf	WR	SEA	North	2024
4	39	AFCCP	DeVonta Smith	WR	PHI	North	2024
4	40	Banana's Bunch	D.J. Moore	WR	CHI	North	2024
4	41	Hail to the Chef	Josh Allen	QB	BUF	North	2024
4	42	Rory's Fury	Josh Jacobs	RB	GBP	North	2024
4	43	Moose Men	Malik Nabers	WR	NYG	North	2024
4	44	Tua Girls One Kupp	Joe Mixon	RB	HOU	North	2024
4	45	Rusty Hammer	Jalen Hurts	QB	PHI	North	2024
4	46	Raptors	Patrick Mahomes	QB	KCC	North	2024
4	47	Steers and Beers	Dak Prescott	QB	DAL	North	2024
4	48	Maryland Madness	Lamar Jackson	QB	BAL	North	2024
5	49	Maryland Madness	Mark Andrews	TE	BAL	North	2024
5	50	Steers and Beers	David Montgomery	RB	DET	North	2024
5	51	Raptors	James Conner	RB	ARI	North	2024
5	52	Rusty Hammer	Trey McBride	TE	ARI	North	2024
5	53	Tua Girls One Kupp	Amari Cooper	WR	BUF	North	2024
5	54	Moose Men	Raheem Mostert	RB	MIA	North	2024
5	55	Rory's Fury	Dalton Kincaid	TE	BUF	North	2024
5	56	Hail to the Chef	Rashee Rice	WR	KCC	North	2024
5	57	Banana's Bunch	Zay Flowers	WR	BAL	North	2024
5	58	AFCCP	Kyle Pitts	TE	ATL	North	2024
5	59	Met-Life Crisis	George Pickens	WR	PIT	North	2024
5	60	Renegades	Terry McLaurin	WR	WAS	North	2024
6	61	Renegades	C.J. Stroud	QB	HOU	North	2024
6	62	Met-Life Crisis	George Kittle	TE	SFO	North	2024
6	63	AFCCP	Rhamondre Stevenson	RB	NEP	North	2024
6	64	Banana's Bunch	Aaron Jones	RB	MIN	North	2024
6	65	Hail to the Chef	Tee Higgins	WR	CIN	North	2024
6	66	Rory's Fury	Chris Godwin	WR	TBB	North	2024
6	67	Moose Men	Evan Engram	TE	JAC	North	2024
6	68	Tua Girls One Kupp	Christian Kirk	WR	JAC	North	2024
6	69	Rusty Hammer	Tank Dell	WR	HOU	North	2024
6	70	Raptors	Keenan Allen	WR	CHI	North	2024
6	71	Steers and Beers	Keon Coleman	WR	BUF	North	2024
6	72	Maryland Madness	Calvin Ridley	WR	TEN	North	2024
7	73	Maryland Madness	D'Andre Swift	RB	CHI	North	2024
7	74	Steers and Beers	Tony Pollard	RB	TEN	North	2024
7	75	Raptors	Diontae Johnson	WR	BAL	North	2024
7	76	Rusty Hammer	Zamir White	RB	LVR	North	2024
7	77	Tua Girls One Kupp	Jake Ferguson	TE	DAL	North	2024
7	78	Moose Men	Javonte Williams	RB	DEN	North	2024
7	79	Rory's Fury	Joe Burrow	QB	CIN	North	2024
7	80	Hail to the Chef	Najee Harris	RB	PIT	North	2024
7	81	Banana's Bunch	Tyjae Spears	RB	TEN	North	2024
7	82	AFCCP	Brian Robinson	RB	WAS	North	2024
7	83	Met-Life Crisis	Jerome Ford	RB	CLE	North	2024
7	84	Renegades	Chase Brown	RB	CIN	North	2024
8	85	Renegades	Jayden Reed	WR	GBP	North	2024
8	86	Met-Life Crisis	Anthony Richardson	QB	IND	North	2024
8	87	AFCCP	Devin Singletary	RB	NYG	North	2024
8	88	Banana's Bunch	Kyler Murray	QB	ARI	North	2024
8	89	Hail to the Chef	Jaxon Smith-Njigba	WR	SEA	North	2024
8	90	Rory's Fury	Xavier Worthy	WR	KCC	North	2024
8	91	Moose Men	Austin Ekeler	RB	WAS	North	2024
8	92	Tua Girls One Kupp	Jayden Daniels	QB	WAS	North	2024
8	93	Rusty Hammer	Rome Odunze	WR	CHI	North	2024
8	94	Raptors	Jaylen Warren	RB	PIT	North	2024
8	95	Steers and Beers	Christian Watson	WR	GBP	North	2024
8	96	Maryland Madness	Ladd McConkey	WR	LAC	North	2024
9	97	Maryland Madness	Jonathon Brooks	RB	CAR	North	2024
9	98	Steers and Beers	Trey Benson	RB	ARI	North	2024
9	99	Raptors	DeAndre Hopkins	WR	KCC	North	2024
9	100	Rusty Hammer	Brock Bowers	TE	LVR	North	2024
9	101	Tua Girls One Kupp	Jakobi Meyers	WR	LVR	North	2024
9	102	Moose Men	Courtland Sutton	WR	DEN	North	2024
9	103	Rory's Fury	Gus Edwards	RB	LAC	North	2024
9	104	Hail to the Chef	David Njoku	TE	CLE	North	2024
9	105	Banana's Bunch	Zack Moss	RB	CIN	North	2024
9	106	AFCCP	Jordan Love	QB	GBP	North	2024
9	107	Met-Life Crisis	Marquise Brown	WR	KCC	North	2024
9	108	Renegades	Ty Chandler	RB	MIN	North	2024
10	109	Renegades	Joshua Palmer	WR	LAC	North	2024
10	110	Met-Life Crisis	Baltimore Ravens	DEF	BAL	North	2024
10	111	AFCCP	Romeo Doubs	WR	GBP	North	2024
10	112	Banana's Bunch	Brian Thomas Jr.	WR	JAC	North	2024
10	113	Hail to the Chef	San Francisco 49ers	DEF	SFO	North	2024
10	114	Rory's Fury	Nick Chubb	RB	CLE	North	2024
10	115	Moose Men	Khalil Shakir	WR	BUF	North	2024
10	116	Tua Girls One Kupp	Chuba Hubbard	RB	CAR	North	2024
10	117	Rusty Hammer	Dallas Goedert	TE	PHI	North	2024
10	118	Raptors	Ezekiel Elliott	RB	LAC	North	2024
10	119	Steers and Beers	Troy Franklin	WR	DEN	North	2024
10	120	Maryland Madness	Brandin Cooks	WR	DAL	North	2024
11	121	Maryland Madness	Tyler Lockett	WR	SEA	North	2024
11	122	Steers and Beers	Cade Stover	TE	HOU	North	2024
11	123	Raptors	Pat Freiermuth	TE	PIT	North	2024
11	124	Rusty Hammer	Jordan Addison	WR	MIN	North	2024
11	125	Tua Girls One Kupp	Jameson Williams	WR	DET	North	2024
11	126	Moose Men	Rico Dowdle	RB	DAL	North	2024
11	127	Rory's Fury	Brock Purdy	QB	SFO	North	2024
11	128	Hail to the Chef	Jaleel McLaughlin	RB	DEN	North	2024
11	129	Banana's Bunch	Blake Corum	RB	LAR	North	2024
11	130	AFCCP	Caleb Williams	QB	CHI	North	2024
11	131	Met-Life Crisis	Tyler Allgeier	RB	ATL	North	2024
11	132	Renegades	J.K. Dobbins	RB	LAC	North	2024
12	133	Renegades	Cleveland Browns	DEF	CLE	North	2024
12	134	Met-Life Crisis	Tank Bigsby	RB	JAC	North	2024
12	135	AFCCP	Curtis Samuel	WR	BUF	North	2024
12	136	Banana's Bunch	Ray Davis	RB	BUF	North	2024
12	137	Hail to the Chef	Zach Charbonnet	RB	SEA	North	2024
12	138	Rory's Fury	Mike Williams	WR	PIT	North	2024
12	139	Moose Men	Tua Tagovailoa	QB	MIA	North	2024
12	140	Tua Girls One Kupp	Trevor Lawrence	QB	JAC	North	2024
12	141	Rusty Hammer	Antonio Gibson	RB	NEP	North	2024
12	142	Raptors	Dalton Schultz	TE	HOU	North	2024
12	143	Steers and Beers	Jaylen Wright	RB	MIA	North	2024
12	144	Maryland Madness	Ja'Lynn Polk	WR	NEP	North	2024
13	145	Maryland Madness	Jordan Mason	RB	SFO	North	2024
13	146	Steers and Beers	Dallas Cowboys	DEF	DAL	North	2024
13	147	Raptors	Jared Goff	QB	DET	North	2024
13	148	Rusty Hammer	MarShawn Lloyd	RB	GBP	North	2024
13	149	Tua Girls One Kupp	Harrison Butker	PK	KCC	North	2024
13	150	Moose Men	Bucky Irving	RB	TBB	North	2024
13	151	Rory's Fury	Khalil Herbert	RB	CIN	North	2024
13	152	Hail to the Chef	T.J. Hockenson	TE	MIN	North	2024
13	153	Banana's Bunch	Darnell Mooney	WR	ATL	North	2024
13	154	AFCCP	Tyrone Tracy	RB	NYG	North	2024
13	155	Met-Life Crisis	Adam Thielen	WR	CAR	North	2024
13	156	Renegades	Josh Downs	WR	IND	North	2024
14	157	Renegades	Justin Tucker	PK	BAL	North	2024
14	158	Met-Life Crisis	Cam Akers	RB	MIN	North	2024
14	159	AFCCP	Cole Kmet	TE	CHI	North	2024
14	160	Banana's Bunch	Kirk Cousins	QB	ATL	North	2024
14	161	Hail to the Chef	Brandon Aubrey	PK	DAL	North	2024
14	162	Rory's Fury	Jerry Jeudy	WR	CLE	North	2024
14	163	Moose Men	Andrei Iosivas	WR	CIN	North	2024
14	164	Tua Girls One Kupp	Miami Dolphins	DEF	MIA	North	2024
14	165	Rusty Hammer	Philadelphia Eagles	DEF	PHI	North	2024
14	166	Raptors	New York Jets	DEF	NYJ	North	2024
14	167	Steers and Beers	Will Reichard	PK	MIN	North	2024
14	168	Maryland Madness	New Orleans Saints	DEF	NOS	North	2024
15	169	Maryland Madness	Kimani Vidal	RB	LAC	North	2024
15	170	Steers and Beers	Jacob Cowing	WR	SFO	North	2024
15	171	Raptors	Jake Elliott	PK	PHI	North	2024
15	172	Rusty Hammer	Ka'imi Fairbairn	PK	HOU	North	2024
15	173	Tua Girls One Kupp	Tennessee Titans	DEF	TEN	North	2024
15	174	Moose Men	Pittsburgh Steelers	DEF	PIT	North	2024
15	175	Rory's Fury	Buffalo Bills	DEF	BUF	North	2024
15	176	Hail to the Chef	Justin Herbert	QB	LAC	North	2024
15	177	Banana's Bunch	Kansas City Chiefs	DEF	KCC	North	2024
15	178	AFCCP	Houston Texans	DEF	HOU	North	2024
15	179	Met-Life Crisis	Justice Hill	RB	BAL	North	2024
15	180	Renegades	Tyler Conklin	TE	NYJ	North	2024
16	181	Renegades	Aaron Rodgers	QB	NYJ	North	2024
16	182	Met-Life Crisis	Quentin Johnston	WR	LAC	North	2024
16	183	AFCCP	Younghoe Koo	PK	ATL	North	2024
16	184	Banana's Bunch	Matt Gay	PK	IND	North	2024
16	185	Hail to the Chef	Rashid Shaheed	WR	NOS	North	2024
16	186	Rory's Fury	Jake Moody	PK	SFO	North	2024
16	187	Moose Men	Cameron Dicker	PK	LAC	North	2024
16	188	Tua Girls One Kupp	Tyler Boyd	WR	TEN	North	2024
16	189	Rusty Hammer	Adonai Mitchell	WR	IND	North	2024
16	190	Raptors	Gabriel Davis	WR	JAC	North	2024
16	191	Steers and Beers	Malik Washington	WR	MIA	North	2024
16	192	Maryland Madness	Jason Sanders	PK	MIA	North	2024
1	1	The Motor City Kitties	Christian McCaffrey	RB	SFO	South 	2024
1	2	Unicorns & Creemees	CeeDee Lamb	WR	DAL	South 	2024
1	3	Gridiron Guru	Bijan Robinson	RB	ATL	South 	2024
1	4	Playoff Donkeys	Tyreek Hill	WR	MIA	South 	2024
1	5	M-Dogg	Saquon Barkley	RB	PHI	South 	2024
1	6	Buck Wild Roosters	Breece Hall	RB	NYJ	South 	2024
1	7	Cosmo's Crew	Amon-Ra St. Brown	WR	DET	South 	2024
1	8	Wookie of the Year	Jonathan Taylor	RB	IND	South 	2024
1	9	Baby Fumblers	Ja'Marr Chase	WR	CIN	South 	2024
1	10	Schmidts and Giggles	A.J. Brown	WR	PHI	South 	2024
1	11	Offensive Lyonmen	Justin Jefferson	WR	MIN	South 	2024
1	12	Poner	Garrett Wilson	WR	NYJ	South 	2024
2	13	Poner	Jahmyr Gibbs	RB	DET	South 	2024
2	14	Offensive Lyonmen	Kyren Williams	RB	LAR	South 	2024
2	15	Schmidts and Giggles	Isiah Pacheco	RB	KCC	South 	2024
2	16	Baby Fumblers	Derrick Henry	RB	BAL	South 	2024
2	17	Wookie of the Year	Marvin Harrison Jr.	WR	ARI	South 	2024
2	18	Cosmo's Crew	Puka Nacua	WR	LAR	South 	2024
2	19	Buck Wild Roosters	Josh Allen	QB	BUF	South 	2024
2	20	M-Dogg	Davante Adams	WR	NYJ	South 	2024
2	21	Playoff Donkeys	Travis Etienne	RB	JAC	South 	2024
2	22	Gridiron Guru	Cooper Kupp	WR	LAR	South 	2024
2	23	Unicorns & Creemees	Drake London	WR	ATL	South 	2024
2	24	The Motor City Kitties	Travis Kelce	TE	KCC	South 	2024
3	25	The Motor City Kitties	Mike Evans	WR	TBB	South 	2024
3	26	Unicorns & Creemees	Sam LaPorta	TE	DET	South 	2024
3	27	Gridiron Guru	Rachaad White	RB	TBB	South 	2024
3	28	Playoff Donkeys	Chris Olave	WR	NOS	South 	2024
3	29	M-Dogg	Alvin Kamara	RB	NOS	South 	2024
3	30	Buck Wild Roosters	D.J. Moore	WR	CHI	South 	2024
3	31	Cosmo's Crew	De'Von Achane	RB	MIA	South 	2024
3	32	Wookie of the Year	Michael Pittman	WR	IND	South 	2024
3	33	Baby Fumblers	Deebo Samuel	WR	SFO	South 	2024
3	34	Schmidts and Giggles	Jalen Hurts	QB	PHI	South 	2024
3	35	Offensive Lyonmen	Nico Collins	WR	HOU	South 	2024
3	36	Poner	Patrick Mahomes	QB	KCC	South 	2024
4	37	Poner	Jaylen Waddle	WR	MIA	South 	2024
4	38	Offensive Lyonmen	James Cook	RB	BUF	South 	2024
4	39	Schmidts and Giggles	Joe Mixon	RB	HOU	South 	2024
4	40	Baby Fumblers	Kenneth Walker III	RB	SEA	South 	2024
4	41	Wookie of the Year	Lamar Jackson	QB	BAL	South 	2024
4	42	Cosmo's Crew	DeVonta Smith	WR	PHI	South 	2024
4	43	Buck Wild Roosters	DK Metcalf	WR	SEA	South 	2024
4	44	M-Dogg	Mark Andrews	TE	BAL	South 	2024
4	45	Playoff Donkeys	Brandon Aiyuk	WR	SFO	South 	2024
4	46	Gridiron Guru	Stefon Diggs	WR	HOU	South 	2024
4	47	Unicorns & Creemees	Josh Jacobs	RB	GBP	South 	2024
4	48	The Motor City Kitties	Malik Nabers	WR	NYG	South 	2024
5	49	The Motor City Kitties	David Montgomery	RB	DET	South 	2024
5	50	Unicorns & Creemees	Zay Flowers	WR	BAL	South 	2024
5	51	Gridiron Guru	Amari Cooper	WR	BUF	South 	2024
5	52	Playoff Donkeys	Trey McBride	TE	ARI	South 	2024
5	53	M-Dogg	Tee Higgins	WR	CIN	South 	2024
5	54	Buck Wild Roosters	Evan Engram	TE	JAC	South 	2024
5	55	Cosmo's Crew	James Conner	RB	ARI	South 	2024
5	56	Wookie of the Year	Rhamondre Stevenson	RB	NEP	South 	2024
5	57	Baby Fumblers	George Pickens	WR	PIT	South 	2024
5	58	Schmidts and Giggles	Chris Godwin	WR	TBB	South 	2024
5	59	Offensive Lyonmen	D'Andre Swift	RB	CHI	South 	2024
5	60	Poner	Dalton Kincaid	TE	BUF	South 	2024
6	61	Poner	Rashee Rice	WR	KCC	South 	2024
6	62	Offensive Lyonmen	Kyle Pitts	TE	ATL	South 	2024
6	63	Schmidts and Giggles	Tony Pollard	RB	TEN	South 	2024
6	64	Baby Fumblers	Anthony Richardson	QB	IND	South 	2024
6	65	Wookie of the Year	George Kittle	TE	SFO	South 	2024
6	66	Cosmo's Crew	Aaron Jones	RB	MIN	South 	2024
6	67	Buck Wild Roosters	Zamir White	RB	LVR	South 	2024
6	68	M-Dogg	Dak Prescott	QB	DAL	South 	2024
6	69	Playoff Donkeys	C.J. Stroud	QB	HOU	South 	2024
6	70	Gridiron Guru	Kyler Murray	QB	ARI	South 	2024
6	71	Unicorns & Creemees	Terry McLaurin	WR	WAS	South 	2024
6	72	The Motor City Kitties	Najee Harris	RB	PIT	South 	2024
7	73	The Motor City Kitties	Keenan Allen	WR	CHI	South 	2024
7	74	Unicorns & Creemees	Raheem Mostert	RB	MIA	South 	2024
7	75	Gridiron Guru	Calvin Ridley	WR	TEN	South 	2024
7	76	Playoff Donkeys	Tank Dell	WR	HOU	South 	2024
7	77	M-Dogg	Christian Kirk	WR	JAC	South 	2024
7	78	Buck Wild Roosters	Christian Watson	WR	GBP	South 	2024
7	79	Cosmo's Crew	Jordan Love	QB	GBP	South 	2024
7	80	Wookie of the Year	Javonte Williams	RB	DEN	South 	2024
7	81	Baby Fumblers	Jayden Reed	WR	GBP	South 	2024
7	82	Schmidts and Giggles	Adam Thielen	WR	CAR	South 	2024
7	83	Offensive Lyonmen	Joe Burrow	QB	CIN	South 	2024
7	84	Poner	Diontae Johnson	WR	BAL	South 	2024
8	85	Poner	Brian Robinson	RB	WAS	South 	2024
8	86	Offensive Lyonmen	Marquise Brown	WR	KCC	South 	2024
8	87	Schmidts and Giggles	Jake Ferguson	TE	DAL	South 	2024
8	88	Baby Fumblers	David Njoku	TE	CLE	South 	2024
8	89	Wookie of the Year	Zack Moss	RB	CIN	South 	2024
8	90	Cosmo's Crew	Xavier Worthy	WR	KCC	South 	2024
8	91	Buck Wild Roosters	Devin Singletary	RB	NYG	South 	2024
8	92	M-Dogg	Jaylen Warren	RB	PIT	South 	2024
8	93	Playoff Donkeys	DeAndre Hopkins	WR	KCC	South 	2024
8	94	Gridiron Guru	Brock Bowers	TE	LVR	South 	2024
8	95	Unicorns & Creemees	Jaxon Smith-Njigba	WR	SEA	South 	2024
8	96	The Motor City Kitties	Keon Coleman	WR	BUF	South 	2024
9	97	The Motor City Kitties	Tua Tagovailoa	QB	MIA	South 	2024
9	98	Unicorns & Creemees	Tyjae Spears	RB	TEN	South 	2024
9	99	Gridiron Guru	Rome Odunze	WR	CHI	South 	2024
9	100	Playoff Donkeys	Austin Ekeler	RB	WAS	South 	2024
9	101	M-Dogg	Chase Brown	RB	CIN	South 	2024
9	102	Buck Wild Roosters	Joshua Palmer	WR	LAC	South 	2024
9	103	Cosmo's Crew	Ladd McConkey	WR	LAC	South 	2024
9	104	Wookie of the Year	Courtland Sutton	WR	DEN	South 	2024
9	105	Baby Fumblers	Jonathon Brooks	RB	CAR	South 	2024
9	106	Schmidts and Giggles	Gus Edwards	RB	LAC	South 	2024
9	107	Offensive Lyonmen	Blake Corum	RB	LAR	South 	2024
9	108	Poner	Jerome Ford	RB	CLE	South 	2024
10	109	Poner	Nick Chubb	RB	CLE	South 	2024
10	110	Offensive Lyonmen	Romeo Doubs	WR	GBP	South 	2024
10	111	Schmidts and Giggles	Justin Tucker	PK	BAL	South 	2024
10	112	Baby Fumblers	Jameson Williams	WR	DET	South 	2024
10	113	Wookie of the Year	Tyler Lockett	WR	SEA	South 	2024
10	114	Cosmo's Crew	Dallas Goedert	TE	PHI	South 	2024
10	115	Buck Wild Roosters	Ezekiel Elliott	RB	DAL	South 	2024
10	116	M-Dogg	Brian Thomas Jr.	WR	JAC	South 	2024
10	117	Playoff Donkeys	Chuba Hubbard	RB	CAR	South 	2024
10	118	Gridiron Guru	Jayden Daniels	QB	WAS	South 	2024
10	119	Unicorns & Creemees	Trey Benson	RB	ARI	South 	2024
10	120	The Motor City Kitties	Erick All	TE	CIN	South 	2024
11	121	The Motor City Kitties	Malachi Corley	WR	NYJ	South 	2024
11	122	Unicorns & Creemees	Brock Purdy	QB	SFO	South 	2024
11	123	Gridiron Guru	T.J. Hockenson	TE	MIN	South 	2024
11	124	Playoff Donkeys	Jakobi Meyers	WR	LVR	South 	2024
11	125	M-Dogg	Antonio Gibson	RB	NEP	South 	2024
11	126	Buck Wild Roosters	Baltimore Ravens	DEF	BAL	South 	2024
11	127	Cosmo's Crew	Jaleel McLaughlin	RB	DEN	South 	2024
11	128	Wookie of the Year	Brandon Aubrey	PK	DAL	South 	2024
11	129	Baby Fumblers	Caleb Williams	QB	CHI	South 	2024
11	130	Schmidts and Giggles	Jordan Addison	WR	MIN	South 	2024
11	131	Offensive Lyonmen	Demario Douglas	WR	NEP	South 	2024
11	132	Poner	Zach Charbonnet	RB	SEA	South 	2024
12	133	Poner	Khalil Shakir	WR	BUF	South 	2024
12	134	Offensive Lyonmen	Trevor Lawrence	QB	JAC	South 	2024
12	135	Schmidts and Giggles	Brandin Cooks	WR	DAL	South 	2024
12	136	Baby Fumblers	Ray Davis	RB	BUF	South 	2024
12	137	Wookie of the Year	Rashid Shaheed	WR	NOS	South 	2024
12	138	Cosmo's Crew	Jared Goff	QB	DET	South 	2024
12	139	Buck Wild Roosters	Curtis Samuel	WR	BUF	South 	2024
12	140	M-Dogg	Mike Williams	WR	PIT	South 	2024
12	141	Playoff Donkeys	Rico Dowdle	RB	DAL	South 	2024
12	142	Gridiron Guru	J.K. Dobbins	RB	LAC	South 	2024
12	143	Unicorns & Creemees	Jaylen Wright	RB	MIA	South 	2024
12	144	The Motor City Kitties	Roman Wilson	WR	PIT	South 	2024
13	145	The Motor City Kitties	Javon Baker	WR	NEP	South 	2024
13	146	Unicorns & Creemees	Kirk Cousins	QB	ATL	South 	2024
13	147	Gridiron Guru	Dontayvion Wicks	WR	GBP	South 	2024
13	148	Playoff Donkeys	San Francisco 49ers	DEF	SFO	South 	2024
13	149	M-Dogg	Dallas Cowboys	DEF	DAL	South 	2024
13	150	Buck Wild Roosters	Jordan Mason	RB	SFO	South 	2024
13	151	Cosmo's Crew	Bucky Irving	RB	TBB	South 	2024
13	152	Wookie of the Year	New York Jets	DEF	NYJ	South 	2024
13	153	Baby Fumblers	Tyler Conklin	TE	NYJ	South 	2024
13	154	Schmidts and Giggles	Aaron Rodgers	QB	NYJ	South 	2024
13	155	Offensive Lyonmen	Cleveland Browns	DEF	CLE	South 	2024
13	156	Poner	Ty Chandler	RB	MIN	South 	2024
14	157	Poner	Adonai Mitchell	WR	IND	South 	2024
14	158	Offensive Lyonmen	Michael Wilson	WR	ARI	South 	2024
14	159	Schmidts and Giggles	Buffalo Bills	DEF	BUF	South 	2024
14	160	Baby Fumblers	Pittsburgh Steelers	DEF	PIT	South 	2024
14	161	Wookie of the Year	Dalton Schultz	TE	HOU	South 	2024
14	162	Cosmo's Crew	Isaiah Likely	TE	BAL	South 	2024
14	163	Buck Wild Roosters	Harrison Butker	PK	KCC	South 	2024
14	164	M-Dogg	Jake Elliott	PK	PHI	South 	2024
14	165	Playoff Donkeys	Tyler Allgeier	RB	ATL	South 	2024
14	166	Gridiron Guru	Ja'Lynn Polk	WR	NEP	South 	2024
14	167	Unicorns & Creemees	Hunter Henry	TE	NEP	South 	2024
14	168	The Motor City Kitties	Dylan Laube	RB	LVR	South 	2024
15	169	The Motor City Kitties	Kansas City Chiefs	DEF	KCC	South 	2024
15	170	Unicorns & Creemees	Miami Dolphins	DEF	MIA	South 	2024
15	171	Gridiron Guru	Ka'imi Fairbairn	PK	HOU	South 	2024
15	172	Playoff Donkeys	Braelon Allen	RB	NYJ	South 	2024
15	173	M-Dogg	Matthew Stafford	QB	LAR	South 	2024
15	174	Buck Wild Roosters	Mike Gesicki	TE	CIN	South 	2024
15	175	Cosmo's Crew	Houston Texans	DEF	HOU	South 	2024
15	176	Wookie of the Year	Luke Musgrave	TE	GBP	South 	2024
15	177	Baby Fumblers	Audric Estime	RB	DEN	South 	2024
15	178	Schmidts and Giggles	Cole Kmet	TE	CHI	South 	2024
15	179	Offensive Lyonmen	Gabriel Davis	WR	JAC	South 	2024
15	180	Poner	Younghoe Koo	PK	ATL	South 	2024
16	181	Poner	Seattle Seahawks	DEF	SEA	South 	2024
16	182	Offensive Lyonmen	Jason Myers	PK	SEA	South 	2024
16	183	Schmidts and Giggles	Juwan Johnson	TE	NOS	South 	2024
16	184	Baby Fumblers	Cameron Dicker	PK	LAC	South 	2024
16	185	Wookie of the Year	Marvin Mims	WR	DEN	South 	2024
16	186	Cosmo's Crew	Matt Gay	PK	IND	South 	2024
16	187	Buck Wild Roosters	Justin Herbert	QB	LAC	South 	2024
16	188	M-Dogg	Jerry Jeudy	WR	CLE	South 	2024
16	189	Playoff Donkeys	Jake Moody	PK	SFO	South 	2024
16	190	Gridiron Guru	Cincinnati Bengals	DEF	CIN	South 	2024
16	191	Unicorns & Creemees	Tyler Bass	PK	BUF	South 	2024
16	192	The Motor City Kitties	Evan McPherson	PK	CIN	South 	2024
1	1	Moose Men	Justin Jefferson	WR	MIN	North	2023
1	2	Tua Girls One Kupp	Travis Kelce	TE	KC	North	2023
1	3	Steers and Beers	Stefon Diggs	WR	BUF	North	2023
1	4	Banana's Bunch	Austin Ekeler	RB	LAC	North	2023
1	5	Rusty Hammer	Ja'Marr Chase	WR	CIN	North	2023
1	6	Poner	Christian McCaffrey	RB	SF	North	2023
1	7	Water Rats	Josh Allen	QB	BUF	North	2023
1	8	Maryland Madness	Cooper Kupp	WR	LAR	North	2023
1	9	Hail to the Chef	Bijan Robinson	RB	ATL	North	2023
1	10	Playoff Donkeys	Tyreek Hill	WR	MIA	North	2023
1	11	AFCCP	Saquon Barkley	RB	NYG	North	2023
1	12	Offensive Lyonmen	Davante Adams	WR	LV	North	2023
2	13	Offensive Lyonmen	Nick Chubb	RB	CLE	North	2023
2	14	AFCCP	Patrick Mahomes	QB	KC	North	2023
2	15	Playoff Donkeys	CeeDee Lamb	WR	DAL	North	2023
2	16	Hail to the Chef	Derrick Henry	RB	TEN	North	2023
2	17	Maryland Madness	Tony Pollard	RB	DAL	North	2023
2	18	Water Rats	A.J. Brown	WR	PHI	North	2023
2	19	Poner	Amon-Ra St. Brown	WR	DET	North	2023
2	20	Rusty Hammer	Jalen Hurts	QB	PHI	North	2023
2	21	Banana's Bunch	Garrett Wilson	WR	NYJ	North	2023
2	22	Steers and Beers	Dak Prescott	QB	DAL	North	2023
2	23	Tua Girls One Kupp	Calvin Ridley	WR	JAX	North	2023
2	24	Moose Men	Josh Jacobs	RB	LV	North	2023
3	25	Moose Men	Jaylen Waddle	WR	MIA	North	2023
3	26	Tua Girls One Kupp	Jahmyr Gibbs	RB	DET	North	2023
3	27	Steers and Beers	DeVonta Smith	WR	PHI	North	2023
3	28	Banana's Bunch	Chris Olave	WR	NO	North	2023
3	29	Rusty Hammer	Najee Harris	RB	PIT	North	2023
3	30	Poner	Mark Andrews	TE	BAL	North	2023
3	31	Water Rats	George Kittle	TE	SF	North	2023
3	32	Maryland Madness	Joe Mixon	RB	CIN	North	2023
3	33	Hail to the Chef	Joe Burrow	QB	CIN	North	2023
3	34	Playoff Donkeys	Keenan Allen	WR	LAC	North	2023
3	35	AFCCP	DK Metcalf	WR	SEA	North	2023
3	36	Offensive Lyonmen	Tee Higgins	WR	CIN	North	2023
4	37	Offensive Lyonmen	Travis Etienne	RB	JAX	North	2023
4	38	AFCCP	Jonathan Taylor	RB	IND	North	2023
4	39	Playoff Donkeys	Rhamondre Stevenson	RB	NE	North	2023
4	40	Hail to the Chef	Amari Cooper	WR	CLE	North	2023
4	41	Maryland Madness	T.J. Hockenson	TE	MIN	North	2023
4	42	Water Rats	Miles Sanders	RB	CAR	North	2023
4	43	Poner	Lamar Jackson	QB	BAL	North	2023
4	44	Rusty Hammer	Aaron Jones	RB	GB	North	2023
4	45	Banana's Bunch	Justin Herbert	QB	LAC	North	2023
4	46	Steers and Beers	James Conner	RB	ARI	North	2023
4	47	Tua Girls One Kupp	J.K. Dobbins	RB	BAL	North	2023
4	48	Moose Men	Kenneth Walker III	RB	SEA	North	2023
5	49	Moose Men	Chris Godwin	WR	TB	North	2023
5	50	Tua Girls One Kupp	Justin Fields	QB	CHI	North	2023
5	51	Steers and Beers	Deebo Samuel	WR	SF	North	2023
5	52	Banana's Bunch	Alexander Mattison	RB	MIN	North	2023
5	53	Rusty Hammer	Christian Watson	WR	GB	North	2023
5	54	Poner	Breece Hall	RB	NYJ	North	2023
